# Iteration 0
Image 0:
-0.047451 -0.156089 0.072648
0.522199 1.761758 1.275461
-0.101976 -0.082034 0.046567
0.056512 -0.150545 0.041340
0.154749 -0.037781 -0.036818
0.113982 0.100292 -0.061252
-0.044925 0.096937 -0.042621
-0.038259 -0.135698 -0.097983
-0.162058 0.253653 0.271953
0.025480 0.270138 0.119325
0.134882 0.227092 -0.007062
-0.108636 -0.082933 -0.058107
0.003039 0.105381 0.066734
0.003216 -0.176592 -0.011484
-0.076028 0.100885 0.113345
-0.052911 -0.001744 -0.090575
-0.009053 -0.095839 0.019265
-0.059213 0.077718 0.044945
-0.008791 0.001789 0.090870
0.009094 0.060315 0.033788
0.076246 -0.043242 -0.058173
-0.025683 -0.026180 -0.079689
-0.113956 0.054282 0.024165
0.088775 0.117604 -0.090490
0.030875 0.073353 0.076775
0.116907 -0.026922 -0.091250
-0.012868 -0.058549 -0.009361
-0.097951 -0.006415 0.110670
0.128691 0.048100 0.095877

Image 8:
-0.002456 0.020065 -0.047003
-1.485635 -0.443190 -0.149943
-0.062802 -0.084857 -0.056937
1.582139 -0.007331 0.067208
-0.445239 -1.544219 -1.383756
-0.390479 0.137051 0.093764
-0.110029 -0.282797 0.052009
0.017135 -0.167838 0.062596
0.339649 -0.110615 -0.059243
0.129341 0.194962 -0.073956
0.076808 0.198967 -0.164183
-0.153467 0.106797 -0.001528
-0.055686 -0.151560 -0.065022
0.084143 0.071581 -0.088982
0.035657 -0.042160 0.079287
-0.109469 0.055653 0.011295
-0.083269 -0.152524 0.016003
0.112296 0.093634 0.007594
-0.047526 -0.174960 0.059253
0.563308 1.421782 1.096678
-0.101286 -0.075415 0.047653
0.060510 -0.138234 0.042086
0.153080 -0.033212 -0.036838
0.115760 0.092397 -0.062045
-0.046464 0.081922 -0.040273
-0.038185 -0.128594 -0.092556
-0.097069 0.280333 0.258203
-0.001165 0.410300 0.208407
0.133454 0.205809 0.043950
-0.099283 -0.077862 -0.054190
-0.061857 0.127600 0.044052
0.010932 -0.173118 -0.008176
-0.079434 0.101118 0.112961
-0.052227 0.000181 -0.093807
-0.008338 -0.096459 0.019875
-0.073013 0.073725 0.057411
-0.018988 0.006038 0.090608
0.010606 0.072328 0.022590
0.066348 -0.039425 -0.057910
-0.027100 -0.022829 -0.081152
-0.112338 0.053434 0.024549
0.089079 0.114875 -0.091437
0.045929 0.071888 0.087516
0.122229 -0.030263 -0.091700
-0.015640 -0.059440 -0.008472
-0.096359 -0.002859 0.106380
0.126398 0.047320 0.097181

Image 9:
-0.017671 0.027213 -0.080231
-1.535316 -0.458445 -0.144983
-0.078175 -0.107916 -0.028680
1.634404 -0.014170 0.033148
-0.441867 -1.267915 -1.210171
-0.362169 0.094758 0.065374
-0.115869 -0.268396 0.048329
0.017803 -0.159977 0.064516
0.336315 -0.108603 -0.056752
0.123703 0.191801 -0.075409
0.059862 0.184316 -0.165980
-0.146360 0.101166 0.008534
-0.052965 -0.150933 -0.056501
0.084189 0.071613 -0.084426
0.029304 -0.036825 0.065078
-0.096132 0.053680 0.005266
-0.082518 -0.145685 0.014135
0.117606 0.104285 0.013831
-0.048069 -0.195061 0.044663
0.595999 1.002163 0.855436
-0.099120 -0.071964 0.048696
0.062879 -0.127897 0.043268
0.151758 -0.030021 -0.036610
0.116072 0.087357 -0.063095
-0.046409 0.070274 -0.038496
-0.040078 -0.121008 -0.084519
-0.023014 0.301038 0.240013
-0.033360 0.574764 0.315133
0.127717 0.175501 0.098882
-0.088636 -0.067882 -0.051847
-0.128853 0.149057 0.014593
0.020474 -0.168530 -0.002604
-0.084845 0.100251 0.112048
-0.052327 0.002719 -0.098334
-0.008045 -0.097578 0.021256
-0.088866 0.074926 0.069634
-0.029680 0.010401 0.092776
0.014128 0.089674 0.011588
0.059299 -0.034400 -0.058620
-0.029645 -0.021590 -0.083540
-0.111760 0.052452 0.024598
0.088454 0.113120 -0.093364
0.062512 0.071546 0.100242
0.128605 -0.033295 -0.091126
-0.018123 -0.061326 -0.007520
-0.096049 0.000287 0.102481
0.124839 0.045054 0.099292

Image 10:
-0.035732 0.033177 -0.117817
-1.559856 -0.468006 -0.138973
-0.100050 -0.134125 0.001695
1.662940 -0.017321 -0.008741
-0.432605 -0.989435 -1.012411
-0.325550 0.042416 0.033855
-0.124729 -0.259214 0.046527
0.023882 -0.159547 0.068865
0.329728 -0.105521 -0.053581
0.120906 0.190668 -0.079408
0.042795 0.179555 -0.171957
-0.139044 0.095651 0.019634
-0.049368 -0.149790 -0.047412
0.084923 0.072084 -0.081236
0.026307 -0.032070 0.057862
-0.084782 0.054325 -0.000769
-0.080567 -0.139199 0.009902
0.123198 0.116071 0.020067
